15#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-06-21#appfire#6#appfire#2015#appfire#DLU10014#appfire##appfire##appfire#1.00#appfire#64.37#appfire#72.73#appfire#701969#appfire#P-ADVANCE#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
16#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-06-21#appfire#6#appfire#2015#appfire#DLU10015#appfire##appfire##appfire#1.00#appfire#42.02#appfire#45.45#appfire#700058#appfire#H&C#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
17#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-06-21#appfire#6#appfire#2015#appfire#DLU10016#appfire##appfire##appfire#1.00#appfire#49.95#appfire#51.30#appfire#707067#appfire#LIVON-CCC#appfire#9#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
18#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10017#appfire##appfire##appfire#12.00#appfire#107.82#appfire#109.08#appfire#702691#appfire#MALT-NATU#appfire#7#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
19#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10018#appfire##appfire##appfire#2.00#appfire#50.15#appfire#50.90#appfire#702418#appfire#MALO-NATU#appfire#7#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
20#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10019#appfire##appfire##appfire#1.00#appfire#78.79#appfire#79.09#appfire#704714#appfire#PCNO(R)#appfire#2#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
21#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10020#appfire##appfire##appfire#18.00#appfire#80.85#appfire#81.90#appfire#707608#appfire#MALT-NATU#appfire#7#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
22#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10021#appfire##appfire##appfire#3.00#appfire#95.16#appfire#98.19#appfire#707715#appfire#PADVJAS-R#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
23#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10022#appfire##appfire##appfire#1.00#appfire#63.59#appfire#68.18#appfire#705380#appfire#PADVJAS-R#appfire#3#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
24#appfire#CHEMIST#appfire#518BSKIII079#appfire##appfire#2015-07-05#appfire#7#appfire#2015#appfire#DLU10023#appfire##appfire##appfire#1.00#appfire#8.33#appfire#9.09#appfire#707611#appfire#SW HRGEL#appfire#5#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#2016-04-11 15:56:10#appfire#-1#appfire#1#appfire#\N
